epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
31,5855,,,,,,,,,,0.018514428287744522,0.02518768608570099,0.12247262895107269,0.18028973042964935,0.0,0.0,0.0,0.0,0.03354877978563309,,,,,,,,,
32,6038,,,,,,,,,,,,,,,,,,,0.015735862776637077,0.022699790075421333,0.12033553421497345,0.17637398838996887,0.0,0.0,0.0,0.0,0.03185497596859932
32,6038,,,,,,,,,,0.01865941658616066,0.025155847892165184,0.11999411135911942,0.1771915853023529,0.0,0.0,0.0,0.0,0.03236207738518715,,,,,,,,,
33,6221,,,,,,,,,,,,,,,,,,,0.011253315955400467,0.019627338275313377,0.12210322916507721,0.1791326105594635,0.0,0.0,0.0,0.0,0.03272426128387451
33,6221,,,,,,,,,,0.018086455762386322,0.02414677105844021,0.11849839985370636,0.17467260360717773,0.0,0.0,0.0,0.0,0.031463056802749634,,,,,,,,,
34,6404,,,,,,,,,,,,,,,,,,,0.027838468551635742,0.034208428114652634,0.1187606081366539,0.17345812916755676,0.0,0.0,0.0,0.0,0.03150111809372902
34,6404,,,,,,,,,,0.01641862466931343,0.022855784744024277,0.11731851100921631,0.1733175814151764,0.0,0.0,0.0,0.0,0.03087928146123886,,,,,,,,,
35,6587,,,,,,,,,,,,,,,,,,,0.016062844544649124,0.02111649140715599,0.1166721060872078,0.17087461054325104,0.0,0.0,0.0,0.0,0.029863186180591583
35,6587,,,,,,,,,,0.01642148196697235,0.022677313536405563,0.11559848487377167,0.17055301368236542,0.0,0.0,0.0,0.0,0.02995314449071884,,,,,,,,,
36,6770,,,,,,,,,,,,,,,,,,,0.01293597649782896,0.02168230153620243,0.11581630259752274,0.17002710700035095,0.0,0.0,0.0,0.0,0.029613083228468895
36,6770,,,,,,,,,,0.01674576662480831,0.02265922911465168,0.11464550346136093,0.1692190021276474,0.0,0.0,0.0,0.0,0.02946975640952587,,,,,,,,,
37,6953,,,,,,,,,,,,,,,,,,,0.026833467185497284,0.03068988211452961,0.11373551189899445,0.16733869910240173,0.0,0.0,0.0,0.0,0.029142625629901886
37,6953,,,,,,,,,,0.01541839074343443,0.021517038345336914,0.11345286667346954,0.16785509884357452,0.0,0.0,0.0,0.0,0.028959186747670174,,,,,,,,,
38,7136,,,,,,,,,,,,,,,,,,,0.014309749938547611,0.02052183449268341,0.11346307396888733,0.16629208624362946,0.0,0.0,0.0,0.0,0.02828826569020748
38,7136,,,,,,,,,,0.014532665722072124,0.02050665207207203,0.11224597692489624,0.16608655452728271,0.0,0.0,0.0,0.0,0.028310617431998253,,,,,,,,,
39,7319,,,,,,,,,,,,,,,,,,,0.016317980363965034,0.022599032148718834,0.11203014850616455,0.16483347117900848,0.0,0.0,0.0,0.0,0.027905400842428207
